sentence,product,part,class,processed_text_sentiment,processed_text_ner,ner_labels
Motorola Edge 40's vegan leather back provides excellent grip and doesn't show fingerprints.,Motorola Edge 40,vegan leather back,positive,motorola edge vegan leather back provides excellent grip doesnt show fingerprint,Motorola Edge 40 vegan leather back provides excellent grip doesnt show fingerprint .,B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART O O O O O O O
Sony Xperia 5 V's 48MP main sensor produces detailed shots but struggles in low light.,Sony Xperia 5 V,48MP main sensor,neutral,sony xperia v mp main sensor produce detailed shot struggle low light,Sony Xperia 5 V 48MP main sensor produce detailed shot struggle low light .,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART O O O O O O O
Nothing Phone 2's software is clean but occasional bugs mar the experience.,Nothing Phone 2,,neutral,nothing phone software clean occasional bug mar experience,Nothing Phone 2 software clean occasional bug mar experience .,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
Asus ROG Phone 7's GameCool 7 thermal system keeps the device cool even during extended gaming sessions.,Asus ROG Phone 7,GameCool 7 thermal system,positive,asus rog phone gamecool thermal system keep device cool even extended gaming session,Asus ROG Phone 7 GameCool 7 thermal system keep device cool even extended gaming session .,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART I-PART O O O O O O O O
I'm impressed by the Motorola Edge+'s ready-for platform. It's like having a PC in my pocket!,Motorola Edge+,ready-for platform,positive,im impressed motorola edge readyfor platform like pc pocket !,Im impressed Motorola Edge ready-for platform . It like PC pocket,O O B-PRODUCT I-PRODUCT B-PART I-PART O O O O O
I can't believe how smooth the Realme GT's 120Hz display is. It's butter!,Realme GT,120Hz display,positive,cant believe smooth realme gts hz display butter !,I cant believe smooth Realme GT 120Hz display . It butter,O O O O B-PRODUCT I-PRODUCT B-PART I-PART O O O
"I'm addicted to mobile gaming now, thanks to the Asus ROG Phone 5's AirTriggers. They're a game-changer!",Asus ROG Phone 5,AirTriggers,positive,im addicted mobile gaming thanks asus rog phone airtriggers theyre gamechanger !,Im addicted mobile gaming thanks Asus ROG Phone 5 AirTriggers . Theyre game-changer,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O
I expected more from the Nokia 8.3 5G's camera. It's just average.,Nokia 8.3 5G,camera,negative,expected nokia g camera average,I expected Nokia 8.3 5G camera . It average .,O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O
I feel like a movie director with the Vivo X60 Pro's gimbal stabilization. My videos are so smooth!,Vivo X60 Pro,gimbal stabilization,positive,feel like movie director vivo x pro gimbal stabilization video smooth !,I feel like movie director Vivo X60 Pro gimbal stabilization . My video smooth,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O
"I love the Huawei Mate 40 Pro's camera, but I miss my Google apps too much.",Huawei Mate 40 Pro,camera,negative,love huawei mate pro camera miss google apps much,I love Huawei Mate 40 Pro camera I miss Google apps much .,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O
I'm blown away by the ZTE Axon 30 Ultra's under-display camera. You can barely see it!,ZTE Axon 30 Ultra,under-display camera,positive,im blown away zte axon ultras underdisplay camera barely see !,Im blown away ZTE Axon 30 Ultra under-display camera . You barely see,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O
"I'm conflicted about the Lenovo Legion Phone Duel 2's design. It's unique, but feels weird to hold.",Lenovo Legion Phone Duel 2,,neutral,im conflicted lenovo legion phone duel design unique feel weird hold,Im conflicted Lenovo Legion Phone Duel 2 design . It unique feel weird hold .,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
"I thought I'd love the BlackBerry Key2's physical keyboard, but I type faster on a touchscreen now.",BlackBerry Key2,physical keyboard,negative,thought id love blackberry key physical keyboard type faster touchscreen,I thought Id love BlackBerry Key2 physical keyboard I type faster touchscreen .,O O O O B-PRODUCT I-PRODUCT B-PART I-PART O O O O O
I'm pleasantly surprised by the TCL 20 Pro 5G's NXTVISION display. Colors are vibrant!,TCL 20 Pro 5G,NXTVISION display,positive,im pleasantly surprised tcl pro g nxtvision display color vibrant !,Im pleasantly surprised TCL 20 Pro 5G NXTVISION display . Colors vibrant,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O
I'm loving the wide-angle selfies on my Honor 50 Pro. No more struggling to fit everyone in!,Honor 50 Pro,wide-angle selfie camera,positive,im loving wideangle selfies honor pro no struggling fit everyone !,Im loving wide-angle selfies Honor 50 Pro . No struggling fit everyone,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O
I can't believe how smooth PUBG runs on my Poco F3. It's like it was made for gaming!,Poco F3,,positive,cant believe smooth pubg run poco f like made gaming !,I cant believe smooth PUBG run Poco F3 . It like made gaming,O O O O O O B-PRODUCT I-PRODUCT O O O O O
"I wanted to love the Microsoft Surface Duo's dual screens, but the software is too buggy.",Microsoft Surface Duo,,negative,wanted love microsoft surface duo dual screen software buggy,I wanted love Microsoft Surface Duo dual screen software buggy .,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O
I'm amazed by the Google Pixel 5a 5G's battery life. I only charge every other day now!,Google Pixel 5a 5G,battery life,positive,im amazed google pixel g battery life charge every day !,Im amazed Google Pixel 5a 5G battery life . I charge every day,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O
I'm a fan of the OnePlus Nord 2's alert slider. It's so convenient for quickly silencing my phone.,OnePlus Nord 2,alert slider,positive,im fan oneplus nord alert slider convenient quickly silencing phone,Im fan OnePlus Nord 2 alert slider . It convenient quickly silencing phone .,O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O
"I like the iPhone SE (2nd gen)'s compact size, but the battery life is killing me.",iPhone SE (2nd gen),,neutral,like iphone se nd gen compact size battery life killing,I like iPhone SE 2nd gen compact size battery life killing .,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
"I accidentally dropped my Samsung Galaxy A52 in the pool, but it survived! The water resistance is no joke.",Samsung Galaxy A52,,positive,accidentally dropped samsung galaxy pool survived ! water resistance no joke,I accidentally dropped Samsung Galaxy A52 pool survived The water resistance joke .,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
I haven't plugged in my Motorola Moto G Power in days. The battery just keeps going!,Motorola Moto G Power,battery,positive,havent plugged motorola moto g power day battery keep going !,I havent plugged Motorola Moto G Power day . The battery keep going,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O B-PART O O
I'm stunned by the detail in my Xiaomi Redmi Note 10 Pro's photos. The 108MP camera is no gimmick!,Xiaomi Redmi Note 10 Pro,108MP camera,positive,im stunned detail xiaomi redmi note pro photo mp camera no gimmick !,Im stunned detail Xiaomi Redmi Note 10 Pro photo . The 108MP camera gimmick,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O B-PART I-PART O
"I love watching movies on my Sony Xperia 5 III's 21:9 screen, but it feels awkward for everything else.",Sony Xperia 5 III,,neutral,love watching movie sony xperia iii screen feel awkward everything else,I love watching movie Sony Xperia 5 III 219 screen feel awkward everything else .,O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
I'm not a fan of the Oppo Reno6 Pro's ColorOS. There's too much bloatware for my taste.,Oppo Reno6 Pro,ColorOS,negative,im not fan oppo reno pro coloros there much bloatware taste,Im fan Oppo Reno6 Pro ColorOS . There much bloatware taste .,O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O
I can't stop taking night photos with my Google Pixel 4a. Night Sight is like magic!,Google Pixel 4a,Night Sight,positive,cant stop taking night photo google pixel night sight like magic !,I cant stop taking night photo Google Pixel 4a . Night Sight like magic,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PART I-PART O O
"I thought the LG Wing's swivel screen would be useful, but I hardly ever use it.",LG Wing,swivel screen,negative,thought lg wing swivel screen would useful hardly ever use,I thought LG Wing swivel screen would useful I hardly ever use .,O O B-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O
I'm amazed at how quickly my OnePlus 8T charges. 30 minutes and I'm good to go!,OnePlus 8T,,positive,im amazed quickly oneplus charge minute im good go !,Im amazed quickly OnePlus 8T charge . 30 minute Im good go,O O O B-PRODUCT I-PRODUCT O O O O O O O
"I love the zoom on my Huawei P40 Pro, but I miss having access to the Play Store.",Huawei P40 Pro,,negative,love zoom huawei p pro miss access play store,I love zoom Huawei P40 Pro I miss access Play Store .,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
I feel like a Hollywood director using my iPhone 13 Pro Max's Cinematic mode. The focus shifts are so smooth!,iPhone 13 Pro Max,Cinematic mode,positive,feel like hollywood director using iphone pro max cinematic mode focus shift smooth !,I feel like Hollywood director using iPhone 13 Pro Max Cinematic mode . The focus shift smooth,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O
I'm so much more productive with the Samsung Galaxy Z Fold3's large inner screen. It's like a tablet when I need it!,Samsung Galaxy Z Fold3,,positive,im much productive samsung galaxy z fold large inner screen like tablet need !,Im much productive Samsung Galaxy Z Fold3 large inner screen . It like tablet I need,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
I can't stop playing with the Google Pixel 6 Pro's Magic Eraser. It's so fun removing photobombers!,Google Pixel 6 Pro,Magic Eraser,positive,cant stop playing google pixel pro magic eraser fun removing photobombers !,I cant stop playing Google Pixel 6 Pro Magic Eraser . It fun removing photobombers,O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O
I'm not sold on the OnePlus 10 Pro's new camera bump design. It looks a bit off to me.,OnePlus 10 Pro,camera bump design,negative,im not sold oneplus pro new camera bump design look bit,Im sold OnePlus 10 Pro new camera bump design . It look bit .,O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PART I-PART I-PART O O O O O
I'm surprised by how good the Xiaomi 12 Pro's speakers are. I sometimes forget to use my bluetooth speaker now.,Xiaomi 12 Pro,speakers,positive,im surprised good xiaomi pro speaker sometimes forget use bluetooth speaker,Im surprised good Xiaomi 12 Pro speaker . I sometimes forget use bluetooth speaker .,O O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART O O O O O O B-PART O
"I love tinkering with the Sony Xperia Pro-I's pro camera features, but it's overkill for everyday use.",Sony Xperia Pro-I,pro camera features,neutral,love tinkering sony xperia prois pro camera feature overkill everyday use,I love tinkering Sony Xperia Pro-I pro camera feature overkill everyday use .,O O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART O O O O
I can finally use my phone one-handed again with the Asus Zenfone 8. It's refreshingly compact!,Asus Zenfone 8,,positive,finally use phone onehanded asus zenfone refreshingly compact !,I finally use phone one-handed Asus Zenfone 8 . It refreshingly compact,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O
"I thought the Vivo V23 Pro's color-changing back would be cooler, but it's just a party trick.",Vivo V23 Pro,color-changing back,negative,thought vivo v pro colorchanging back would cooler party trick,I thought Vivo V23 Pro color-changing back would cooler party trick .,O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O
"I appreciate the clean Android on my Nokia X20, but it feels so slow compared to other phones.",Nokia X20,,negative,appreciate clean android nokia x feel slow compared phone,I appreciate clean Android Nokia X20 feel slow compared phone .,O O O O B-PRODUCT I-PRODUCT O O O O O
"I'm intrigued by the Realme GT 2 Pro's bio-based polymer design. It feels different, but in a good way!",Realme GT 2 Pro,bio-based polymer design,positive,im intrigued realme gt pro biobased polymer design feel different good way !,Im intrigued Realme GT 2 Pro bio-based polymer design . It feel different good way,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART O O O O O O
I rarely use the Motorola Edge 20 Pro's periscope zoom. The quality isn't great at high magnifications.,Motorola Edge 20 Pro,,negative,rarely use motorola edge pro periscope zoom quality isnt great high magnification,I rarely use Motorola Edge 20 Pro periscope zoom . The quality isnt great high magnification .,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O
I'm impressed by how invisible the crease is on my Oppo Find N. It feels like using a normal phone!,Oppo Find N,,positive,im impressed invisible crease oppo find n feel like using normal phone !,Im impressed invisible crease Oppo Find N. It feel like using normal phone,O O O O O O O O O O O O O
"I love how easily my iPhone 12 mini fits in my pocket, but I'm always anxious about the battery life.",iPhone 12 mini,,positive,love easily iphone mini fit pocket im always anxious battery life,I love easily iPhone 12 mini fit pocket Im always anxious battery life .,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
I use my Samsung Galaxy S22 Ultra's S Pen way more than I thought I would. It's so versatile!,Samsung Galaxy S22 Ultra,S Pen,positive,use samsung galaxy ultras pen way thought would versatile !,I use Samsung Galaxy S22 Ultra S Pen way I thought I would . It versatile,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O O
"I like being able to wirelessly charge my Google Pixel 5, but it's so slow compared to wired charging.",Google Pixel 5,,neutral,like able wirelessly charge google pixel slow compared wired charging,I like able wirelessly charge Google Pixel 5 slow compared wired charging .,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O
I'm disappointed by the OnePlus Nord CE 2's build quality. It feels cheap in my hand.,OnePlus Nord CE 2,,negative,im disappointed oneplus nord ce build quality feel cheap hand,Im disappointed OnePlus Nord CE 2 build quality . It feel cheap hand .,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
"I'm amazed by how quickly my Xiaomi 11T Pro charges, but I worry about the long-term battery health.",Xiaomi 11T Pro,,neutral,im amazed quickly xiaomi pro charge worry longterm battery health,Im amazed quickly Xiaomi 11T Pro charge I worry long-term battery health .,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
"I appreciate the long battery life on my Sony Xperia 10 III, but everything else about it is just okay.",Sony Xperia 10 III,battery,neutral,appreciate long battery life sony xperia iii everything else okay,I appreciate long battery life Sony Xperia 10 III everything else okay .,O O O B-PART O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O
"I love taking selfies with my Huawei Nova 9, but the lack of Google services is a constant frustration.",Huawei Nova 9,,negative,love taking selfies huawei nova lack google service constant frustration,I love taking selfies Huawei Nova 9 lack Google service constant frustration .,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
"I'm impressed by the premium feel of my Oppo Find X5 Pro's ceramic back, but it's so slippery!",Oppo Find X5 Pro,,positive,im impressed premium feel oppo find x pro ceramic back slippery !,Im impressed premium feel Oppo Find X5 Pro ceramic back slippery,O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O
I can't believe how stable my videos are with the Vivo X70 Pro+'s gimbal camera. It's like having a steady cam!,Vivo X70 Pro+,,positive,cant believe stable video vivo x pro gimbal camera like steady cam !,I cant believe stable video Vivo X70 Pro gimbal camera . It like steady cam,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
"I like having 5G on my Realme 8 5G, but the rest of the phone feels like a downgrade from my old 4G phone.",Realme 8 5G,,negative,like g realme g rest phone feel like downgrade old g phone,I like 5G Realme 8 5G rest phone feel like downgrade old 4G phone .,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
"I love the speed of my iPhone SE (3rd gen), but the old design makes me feel like I'm using an antique.",iPhone SE (3rd gen),,neutral,love speed iphone se rd gen old design make feel like im using antique,I love speed iPhone SE 3rd gen old design make feel like Im using antique .,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
I'm enjoying the large screen on my Samsung Galaxy A73 5G. It's perfect for watching videos on the go!,Samsung Galaxy A73 5G,,positive,im enjoying large screen samsung galaxy g perfect watching video go !,Im enjoying large screen Samsung Galaxy A73 5G . It perfect watching video go,O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
I'm constantly amazed by the photos I take with my Google Pixel 6a. The computational photography is incredible!,Google Pixel 6a,camera,positive,im constantly amazed photo take google pixel computational photography incredible !,Im constantly amazed photo I take Google Pixel 6a . The computational photography incredible,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O
"I like how fast the OnePlus 10R charges, but the phone doesn't feel special like OnePlus used to.",OnePlus 10R,,negative,like fast oneplus r charge phone doesnt feel special like oneplus used,I like fast OnePlus 10R charge phone doesnt feel special like OnePlus used .,O O O B-PRODUCT I-PRODUCT O O O O O O O O O
"I enjoy using the Xiaomi Poco F4 GT's magnetic triggers for gaming, but they make the phone feel bulky.",Xiaomi Poco F4 GT,magnetic triggers,positive,enjoy using xiaomi poco f gts magnetic trigger gaming make phone feel bulky,I enjoy using Xiaomi Poco F4 GT magnetic trigger gaming make phone feel bulky .,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
I love watching movies on my Sony Xperia 5 IV's 21:9 screen. It's like a mini cinema!,Sony Xperia 5 IV,,neutral,love watching movie sony xperia iv screen like mini cinema !,I love watching movie Sony Xperia 5 IV 219 screen . It like mini cinema,O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
I'm impressed by how cool my Asus ROG Phone 6 Pro stays during long gaming sessions. The cooling system really works!,Asus ROG Phone 6 Pro,,positive,im impressed cool asus rog phone pro stay long gaming session cooling system really work !,Im impressed cool Asus ROG Phone 6 Pro stay long gaming session . The cooling system really work,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O
"I like showing off my Vivo V25 Pro's color-changing back, but it doesn't add any real functionality.",Vivo V25 Pro,,neutral,like showing vivo v pro colorchanging back doesnt add real functionality,I like showing Vivo V25 Pro color-changing back doesnt add real functionality .,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
"I love how long my Nokia G50's battery lasts, but I'm disappointed by the camera quality.",Nokia G50,battery life,neutral,love long nokia g battery last im disappointed camera quality,I love long Nokia G50 battery last Im disappointed camera quality .,O O O B-PRODUCT I-PRODUCT O O O O O O O
I was surprised to find a heart rate sensor on my Realme 9 Pro+. It's a neat feature I didn't know I wanted!,Realme 9 Pro+,heart rate sensor,positive,surprised find heart rate sensor realme pro neat feature didnt know wanted !,I surprised find heart rate sensor Realme 9 Pro . It neat feature I didnt know I wanted,O O O B-PART I-PART I-PART B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
"I'm having fun with the Motorola Edge 30 Ultra's 200MP camera, but I'm not sure it's really necessary.",Motorola Edge 30 Ultra,200MP camera,neutral,im fun motorola edge ultras mp camera im not sure really necessary,Im fun Motorola Edge 30 Ultra 200MP camera Im sure really necessary .,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O
"I like the sleek design of my Oppo Reno8 Pro, but the huge camera bump makes it wobble on flat surfaces.",Oppo Reno8 Pro,camera bump design,positive,like sleek design oppo reno pro huge camera bump make wobble flat surface,I like sleek design Oppo Reno8 Pro huge camera bump make wobble flat surface .,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
I'm constantly amazed by the iPhone 14 Pro's Dynamic Island. It makes notifications so much more intuitive!,iPhone 14 Pro,Dynamic Island,positive,im constantly amazed iphone pro dynamic island make notification much intuitive !,Im constantly amazed iPhone 14 Pro Dynamic Island . It make notification much intuitive,O O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
I love how compact my Samsung Galaxy Z Flip4 is when folded. It fits in pockets that my old phone never could!,Samsung Galaxy Z Flip4,,positive,love compact samsung galaxy z flip folded fit pocket old phone never could !,I love compact Samsung Galaxy Z Flip4 folded . It fit pocket old phone never could,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
"I like the convenience of my Google Pixel 7's face unlock, but I don't trust it as much as the fingerprint sensor.",Google Pixel 7,,positive,like convenience google pixel face unlock dont trust much fingerprint sensor,I like convenience Google Pixel 7 face unlock I dont trust much fingerprint sensor .,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
I'm so glad OnePlus brought back the alert slider on the OnePlus 11. I missed it on their previous model!,OnePlus 11,alert slider,positive,im glad oneplus brought back alert slider oneplus missed previous model !,Im glad OnePlus brought back alert slider OnePlus 11 . I missed previous model,O O O O O B-PART I-PART B-PRODUCT I-PRODUCT O O O O O
I'm blown away by the photos from my Xiaomi 13 Pro's Leica cameras. The colors are so true to life!,Xiaomi 13 Pro,Leica cameras,positive,im blown away photo xiaomi pro leica camera color true life !,Im blown away photo Xiaomi 13 Pro Leica camera . The color true life,O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O
"I enjoy tinkering with my Sony Xperia 1 V's manual camera controls, but it's a steep learning curve.",Sony Xperia 1 V,manual camera controls,neutral,enjoy tinkering sony xperia v manual camera control steep learning curve,I enjoy tinkering Sony Xperia 1 V manual camera control steep learning curve .,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART I-PART O O O O
"I like playing with the Huawei Mate 50 Pro's variable aperture, but I'm frustrated by the lack of 5G.",Huawei Mate 50 Pro,,negative,like playing huawei mate pro variable aperture im frustrated lack g,I like playing Huawei Mate 50 Pro variable aperture Im frustrated lack 5G .,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
I use my Oppo Find N2 Flip's cover screen way more than I expected. It's so convenient for quick tasks!,Oppo Find N2 Flip,cover screen,positive,use oppo find n flip cover screen way expected convenient quick task !,I use Oppo Find N2 Flip cover screen way I expected . It convenient quick task,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O O
I'm amazed by the low-light photos I can take with my Vivo X90 Pro+'s 1-inch sensor. Night shots look like day!,Vivo X90 Pro+,1-inch camera sensor,positive,im amazed lowlight photo take vivo x pro inch sensor night shot look like day !,Im amazed low-light photo I take Vivo X90 Pro 1-inch sensor . Night shot look like day,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
"I'm impressed by how fast my Realme GT3 charges, but I'm not sure I need 240W charging in my life.",Realme GT3,240W charging,neutral,im impressed fast realme gt charge im not sure need w charging life,Im impressed fast Realme GT3 charge Im sure I need 240W charging life .,O O O B-PRODUCT I-PRODUCT O O O O O B-PART I-PART O O
"I like knowing my iPhone 14 has satellite SOS, but I hope I never have to use it.",iPhone 14,satellite SOS,positive,like knowing iphone satellite so hope never use,I like knowing iPhone 14 satellite SOS I hope I never use .,O O O B-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
I'm having fun taking macro shots with my Samsung Galaxy A54 5G. It's like having a microscope in my pocket!,Samsung Galaxy A54 5G,,positive,im fun taking macro shot samsung galaxy g like microscope pocket !,Im fun taking macro shot Samsung Galaxy A54 5G . It like microscope pocket,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O
I love being able to wirelessly charge my Google Pixel 7a. It's so convenient!,Google Pixel 7a,,positive,love able wirelessly charge google pixel convenient !,I love able wirelessly charge Google Pixel 7a . It convenient,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
I'm disappointed by how bloated OxygenOS feels on my OnePlus Nord 3. It's not the clean experience I remember.,OnePlus Nord 3,,negative,im disappointed bloated oxygenos feel oneplus nord not clean experience remember,Im disappointed bloated OxygenOS feel OnePlus Nord 3 . It clean experience I remember .,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
"I thought I'd be wowed by my Xiaomi Redmi Note 12 Pro+'s 200MP camera, but the results are just okay.",Xiaomi Redmi Note 12 Pro+,200MP camera,neutral,thought id wowed xiaomi redmi note pro mp camera result okay,I thought Id wowed Xiaomi Redmi Note 12 Pro 200MP camera result okay .,O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O
I enjoy reading on my Sony Xperia 10 V's tall screen. It's like holding a mini scroll!,Sony Xperia 10 V,,neutral,enjoy reading sony xperia v tall screen like holding mini scroll !,I enjoy reading Sony Xperia 10 V tall screen . It like holding mini scroll,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
I'm impressed that my compact Asus Zenfone 10 doesn't compromise on performance. It's small but mighty!,Asus Zenfone 10,,positive,im impressed compact asus zenfone doesnt compromise performance small mighty !,Im impressed compact Asus Zenfone 10 doesnt compromise performance . It small mighty,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
I can barely see the crease on my Vivo X Fold2 when it's unfolded. It feels just like a normal phone!,Vivo X Fold2,,positive,barely see crease vivo x fold unfolded feel like normal phone !,I barely see crease Vivo X Fold2 unfolded . It feel like normal phone,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
"I like the eco-friendly approach of my Nokia X30 5G, but I'm not sure it justifies the high price.",Nokia X30 5G,,neutral,like ecofriendly approach nokia x g im not sure justifies high price,I like eco-friendly approach Nokia X30 5G Im sure justifies high price .,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
"I'm impressed by how fast my Realme 11 Pro+ charges, but the cluttered UI is information overload.",Realme 11 Pro+,,neutral,im impressed fast realme pro charge cluttered ui information overload,Im impressed fast Realme 11 Pro charge cluttered UI information overload .,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
I use my Motorola Razr 40 Ultra's cover screen all the time. It's so handy for quick tasks!,Motorola Razr 40 Ultra,cover screen,positive,use motorola razr ultras cover screen time handy quick task !,I use Motorola Razr 40 Ultra cover screen time . It handy quick task,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O
"I'm having fun with my Oppo Reno10 Pro+'s periscope zoom, but I feel a bit creepy using it in public.",Oppo Reno10 Pro+,periscope zoom,positive,im fun oppo reno pro periscope zoom feel bit creepy using public,Im fun Oppo Reno10 Pro periscope zoom I feel bit creepy using public .,O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O O O O
"I love the premium feel of my iPhone 15 Pro's titanium body, but the price made my wallet cry!",iPhone 15 Pro,titanium body,positive,love premium feel iphone pro titanium body price made wallet cry !,I love premium feel iPhone 15 Pro titanium body price made wallet cry,O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-PART I-PART O O O O
I'm impressed by the night photos I can take with my Samsung Galaxy S23 FE. They're so bright and clear!,Samsung Galaxy S23 FE,,positive,im impressed night photo take samsung galaxy fe theyre bright clear !,Im impressed night photo I take Samsung Galaxy S23 FE . Theyre bright clear,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O
Item was as discribed ; was shipped fast and function very well . Would do business with again .<br />A++++,,,positive,item discribed shipped fast function well would business br,Item discribed shipped fast function well . Would business .br A,O O O O O O O O O O O
Came in perfect. Works perfectly,,,positive,came perfect work perfectly,Came perfect . Works perfectly,O O O O O
"Good quality, came with out the extra boom mic cushion and the cord holder that the manufacturer promotes on the included parts off the product (product manual)",,mic cushion,negative,good quality came extra boom mic cushion cord holder manufacturer promotes included part product product manual,Good quality came extra boom mic cushion cord holder manufacturer promotes included part product product manual,O O O O O B-PART I-PART O O O O O O O O O
