sentence,product,part,class
I'm disappointed with this radio. The receive is just horrible but it will Transmit just fine but if someone is over 10 miles away you can't hear them. Dont waste your money with this radio,,,negative
"I bought this for my Nook tablet, which has exactly the same dimensions as the Color, even for the screen. The screen protector ended up to be a couple mm too big for the screen so I had to cut off a bit. Naturally this did not give it a good look. So I ended up ordering another one. And this time it does fit perfectly.",,screen protector,neutral
These were not the right speakers that my daughter was looking for and  to return would be about $24.00 to ship back Great Britain.,,,negative
"I am fairly pleased with this case.  I feel like it would absorb the shock if I were to drop my iPod, which is what's important. However, it does make it difficult to access any of the ports for headphones or  charging.",,,positive
"My daughter recently got the old itouch.  We couldn't find a cover locally.  Thank you amazon for carrying this product.  It is a beautiful and slick cover.  She really liked it.  The toughest part was getting the cover to snap shut....because it fits like a glove.  It took quite a lot of trys and tweaking and eventually it snapped all in place.  PHEW!  IT is a great cover specially for the price.  As a side note, we can no longer put it on our bose speakers to play the itouch.  That is the only reason it i",,,positive
I am very happy with my MP3 Player.  It is easy to work and download.  I would recommend it to everyone.,,,positive
I purchased 2 of these cameras for each of my vehicles.  It was very easy to setup and program.  There is a site on line to view the setup proceedures. I am amazed at the clarity of the pictures especially at night.  I live on a gravel road and have had no problems with the mounting coming off the windshield.  The only problem I have is that it interfers with my portable GPS.  I have tried moving it away from the GPS but that does not help.  I would highly recommend this product and am planning on purchasin,,,positive
i bought the case for 12.00 and it's nothing like the one in the picture as well as it has a faulty back with no where to attach the strap and barely adds any protection onto the itouch. THIS PRODUCT IS A LIE AND BAD,,,negative
"I have had this speaker for about 5 months now and it is all it's promised and more. I use it in my classroom to play songs & music for 4 year old children and it delivers every time I use it. They can get a bit noisy, so I was concerned that the volume wouldn't be loud enough to be heard, but it's great. I only gave it four stars because the cable that goes from the speaker to my iPhone is extremely short. Another inch or two of length and I would have given it five stars without thinking about it twice.<b",,,positive
this charger does not charge my iphone. i get a message saying that it does not support charging on my phone. don't waste your money,,,negative
"Fantastic GPS. It's a workhorse of our SAR team. Solid, indestructable, reliable. Touch screen versions do not have that advantage in cold rainy weather, where button-based navigation of this device is superior. Buttons are big enogh to be responsive even when you wear gloves.",,Buttons,positive
"I've had this case since January. I chose the red color to match my iPod touch. It's a great color! With time, the case has started fraying and peeling as someone else has pointed out, but for this price, I don't really mind. I love that I can have my iPod as well as my cards and money in one place. The iPod is completely secure inside. This case has been very durable considering I've dropped my iPod multiple times. Even with all these drops, my iPod is still completely functional. The bulk of the stuff I p",,,positive
I bought this for my daughter for Christmas. It is a really cute case and easy to put on. Good quality.,,,positive
made it work but not the greatest.  Doesnt fit quite right and suction cup wont stick to dash.  Only $10 but you get what you pay for.,, suction cup,negative
"I am very happy with this case. I bought it for my 10 yr old son who is very rough with his belongings. It has now survived more than a month with no damage. The only negative I can say is the screen protector that came with it does not want to stay on too well, but I did not buy this for the screen protector or the other two items that came with it. The case is well worth the cost.",,screen protector,positive
"Not super attractive or anything, but it is a cheap alternative to buying Nike shoes. Gets the job done.",,,neutral
"This case is relatively inexpensive and it works well with the Nook Color e-reader.  The clear vinyl allows you to keep the Nook in the case, and the touch screen still works fine.  Even though I also purchased a clear screen protector for the Nook Color from Amazon.com, the clear vinyl case gives you a little extra protection for the screen.  My only complaint is that the two zippers sometimes get stuck, especially near the corners, but with a little nudging they do let you open or close the case fully as ",,,positive
i have owned many brands of multi-tools and all have faild me in some way or another and you can't beat SOG,,,positive
I really love this digital metronome. It helps me a lot when I was practicing. The sound is loud so you can always hear it.,,,positive
Small and easy to set up.  The sound quality is great for a device this small.  It's being used in a retail store environment for Christmas music and is more the adequate.  We've had several comments from customers on how good it sounds.,,,positive
The bottom of the case broke just 2 days after using it. It broke where the cable plugs into the i-touch near the face of the screen. The plastic is cheap and not able to endure much.,,,negative
Great price. Nice little case to hold my GPS in when not in use..keeps it out of sight for potential thiefs.,,,positive
good battery,,battery,positive
"The transmitter works well; however, I didn't get the remote and the power coed dosn't work. Not having the power cord has an unpleasant side effect, the transmitter operates off the phones battery. I would recommend spending more and getting a better product.",,"transmitter, remote",negative
been using for more than 2 years and works very well till date. I still use the phone as a GPS unit paired to a Bluetooth GPS receiver.,,,positive
"I got this cover for my ipod touch, and once I snapped it on, it has not come off once! I absolutely love it, and I get compliments on it all the time!",,,positive
I purchased these iPod cases for my two daughters and two of their friends for Christmas gifts. I no that they will be grateful and happy.,,,positive
"This was a great simulator 10 years ago, but ASA has not kept up with the times and updated it.  They claim it works with Windows 7.  Technically it does \\""run\\"" on Windows 7, but many of the features (including the Garmin GPS simulator) do not work.  The graphics resolution is extremely poor on any operating system (again because monitors and graphics cards have come a long way).  Given the steep price, this software should offer far more than it does.",,,negative
"well, this is the first bluetooth receiver i've ever used, but i can tell that i won't purchase any other receiver for a really long time; i'll buy same one if this one's broken.    first, it is so outstandingly SMALL. since i haven't seen the details of size on amazon, let me post it which i measured it myself: length 6.3 cm; width 2.1 cm; height 1.4 cm (centimeter would be more accurate at this point, convert to inches if you want). you can hang it on the key chain, put it in the pocket without even notic",,,positive
"It protects my Nook Simple Touch with Glow Light perfectly, it's lightweight, and best of all - it didn't break the bank to purchase. The only con I could come up with is that the elastic strap which keeps the cover closed when not in use could have been placed a little farther down from the edge so that it would stay in place a little better.  Even when I don't fasten it, the cover stays closed in my purse. The slots are all in the right places for access to controls. I highly recommend this product.",,elastic strap,positive
This cover did not fit my ipod touch gen 3.  I guess you could say that it snapped shut but was very loose and would not stay together.,,,negative
"I love these mp3 players! Sound is outstanding! My daughter has an ipod, and loves my mp3 player more! Delivery was fast. Will recommend to anyone!",,,positive
I ordered this item for work so I could listen to my iPod through the speaker.  It has great sound for being so small.  I've been using it non-stop since I received it and I really liked the product.,,speaker,positive
"I love my Kobo!  Super lightweight, clear and clean print and pictures, fast loading, easy to download new books. The only thing that I wish was better is the ability to jump to a different page. If I could type in a specific page, I would be much happier. But still a great reader.",,,positive
"This case was exactly what I needed for my zen. It protects the zen from being dropped and from scratches. It looks very nice, and I like the multiple features (slits in the back for a belt, screw-on belt clip, stand-on-its-own metal piece). Unfortunately, my zen just got stolen with the case, so I can't enjoy using it anymore. If I ever buy another zen, however, I will buy this case.",,,positive
"Very disappointed in this product . More than half of them do not work ! They were not properly put together. I was also disappointed that the lights were in color rather than white ! This, may be my fault, but I thought they were supposed to be white lights.",,lights,negative
"They delivered at the expected time, and the product works perfectly with a good bluetooth range. Also a very powerful speaker.",,"bluetooth, speaker",positive
"I looked into portable Bluetooth speakers for about two weeks before deciding on this item. Compared to it's big brothers priced more than twice as much, this item is not to be looked at as cheap. Depending on the device you sync with it, the sound can fill a room. For example, my cellphone speaker is louder than my nexus 7 tablet speaker, so the sound that the OontZ produces from each devices is reflected respectfully. I was actually surprised by the amount of bass this device can produce too. My only real",,,positive
"After having plunked down a sizable stack of cash for my disappointing pair of overpriced B&O A8 earbuds, only to have my first negative experience after 30+ years of B&O purchases, and my incredibly uncomfortable, overpriced, and overrated Shure E2c's, I found these recommended by a tech magazine. When I found that they were only $20, I decided \\""why not?\\""  I was not disappointed .. mainly due to the fact that although these were not audiophile by any means, they delivered more bass than I had heard fro",,,neutral
"The case is a perfect match for my new ipod. The openings fit exactly for my recharger, etc.  The cover opens in a flash, but protects the screen of my ipod.  Bright red color is easy to find when I put it down somewhere. Great value.",,,positive
We have had these speakers for over two years and the sound is awesome.  They are durable and we use them on the boat every weekend.,,,positive
"Perfect! I would advise EVERYONE to make sure you order Apple MFI Certified cables. Between myself, my wife and my two kids we have 2 iPhones and 4 iPads and I cannot tell you how many crappy cables I have purchased that were not certified that work great for a month or so and than randomly will start giving the &#34;this accessory is not made to work with your phone&#34; message and then a week or so later just stop working all together. These cables are strong and the perfect length, I would recommend to ",,,positive
"I was stupid enough to buy this item that has no reviews, and sure enough it was a peice of junk.  The case is basically made of hard blastic that would not absorb any force in case you drop your i-pod, and it will break causing damge to you $300 i-pod.  It is composed of 2 pieces (front and back) that lock using 4 points next to the corners.  Well, one of these locks did not even lock and the 2 pieses were loose around that corner.  It is going to be returned to seller.  I probably will look in the stores ",,,negative
"I'll keep this short:  I used all five screen protectors in this pack and every one of them was terminally bubbly.  The size is slightly too large for the screen as well, making the screen protector bunch up when I attempted to slide my case around it.  Not pleased.<br /><br />Please look elsewhere.",,,negative
I ordered this case for my wife over a year ago and it is holding up very well. I would recommend it to anyone wanting a durable case and a fair price,,,positive
"This cover for my Ipod is one of the best things I have ever bought.  I've been using the blue one because it's my daughter's favorite color but plan on switching back and forth between the two.  I have never had a rubberized cover for anything before and I was blown away by this.  I love it so much, I scoured the internet for a rubberized cover for my phone.  It's nice and thin but sturdy enough to protect.<br /><br />I have only one complaint and it is VERY minor.  When plugging my Ipod in, the cover sits",,,positive
"Great clock, radio, charging dock. Love the feature of setting the alarm to play music through the ipod.",," clock, radio, charging dock",positive
I received only one of two of the Ipod Nano Generation 5 leather cases. I paid for two and only got one. This case fits too tight to get the Ipod in and out ---and the holes don't line up with the controls and screen of the Ipod. So it is not usable---and a waste of money.,,,negative
A good but basic bag. Have enough space for panasonic LX3 or canon g11 but no extras. Just a basic protective bag.,,,neutral
The music cut in and out and it was unpleasant to listen too.  I tried two different ear bud's and it happened with both sets.  I sent it back.,,,negative
Sounds wonderful and projects sound easily and is very easy carry around it works great for parties also it is very easy to use,,,positive
"Fits the iPhone well and works as advertised.<br />However, having to manualing plug the unit in every time is a pain.<br />The FM transmitter does not play the best quality, especially when the device is so close.<br />You also have to remember to turn the unit on and off each time.",,FM transmitter,positive
"I was mistaken, it is true that the slot is made to be compatible with the first and second generation ipod touch, and not the iphone.    i-nique has proactively sent me an e-mail offering a refund, and explaining the situation with the elongated hole and with the outdated picture.    As far as the case goes, if the elongated hole doesn't bother you, it is a good case, it is well made and seems very durable. (just like the other cases I have purchased from i-nique)    I am adding stars as a result to this n",,,positive
The product description says that there is a Mic when there isn't!!!!  No manual on how to operate the item.  Felt cheated !!!!!!!!!!!! Not a good product.,,Mic,negative
"Great case! Arrived on time, came with everything included in the description,  and it actually glows in the dark. I love it.",,,positive
Face Separation Kit was received in great condition and the shipment to me was prompt.  The item met all of my expectations  and was a real bargan for the price that I paid.  I am well pleased with the item and with the supplier of this item; and I will use this supplier again if I need similar items.,,,positive
"I can't beleive how impressed I am with the quality and versility of this product and it is Waterproof.  You can either use the RCA connectors for speaker out-put or Direct wire / MP3 hookup's through USB or 3.5 jack / Bluetooth from the phone / and the unit is amped / Very pleased with this purchase.  JBL has a made a top quality product.  The vendor that sold this is also the cheapest I could find on the Internet so, that is a bonus as well.",,,positive
"I got this because I was looking for a cheap hard case for my ipod touch 3G.  This does the part perfectly.  Yeah, the clip stand is really, really cheap and if you plan on using it as a stand, get something else.  However, for just a good, hard case, this works well.  The ipod fits tight, but slid in with some effort.  The case did mess up my scratch proof screen protector, but I think that was my fault for having the protector a bit big.  Overall, I'm happy with the case.  It provides more protection and ",,,positive
"Good performance, great HD resolution<br />Althoug the battery doesn't last much so you end up plugging it to the 12 volts power the whole time<br /><br />Good quality vs price paid",,battery,positive
This case did not do it's job as some material was able to get into the case and the back side of the iPod has scratches because of that. It did protect the front side very well though.,,,neutral
"I ordered this shell case because the case I have right now is cracked.  Upon receipt of this item, I immediately regretted ordering it.  The plastic covering over the panic button was falling off (and this is right out of the package!), the gray lever that releases the internal key was crooked and on the verge of falling off as well, and if all that wasn't bad enough, the top portion of the key (the piece that you take out of the shell that holds that batteries) didn't fit the shell correctly.  Total waste",,,negative
"This is a high quality, custom fit case.  The leather is soft and wraps around hard shell pieces.  The inner liner is made of a soft red velvet material and should do a good job protecting the S9's body.  It adds only slight bulk to the narrow profile of the S9.  This case is worth every penny.  A satisfying purchase.",,,positive
So the wire didn't work at first... a little DIY investigation with an ohm-meter showed the following MISTAKES!<br />1- the black wire (ground) is connected to the center pin on the plug! (if you look at the cobra's car charger you see that ground should be the outside/exposed area of the pin and NOT the inside)<br />2- the red wire (12V) wasn't making a connection to the connector!<br /><br />so over all... WRONG wiring and they didn't even TEST the damn wire before shipping it.<br /><br />disappointed!,,wire,negative
This was not hard to install as long as you take your time. No issues with the battery fitting. Highly recommend before you go and pay someone $100 (What the Apple Store quoted me) to put a new battery in.,,battery,positive
"I bought the M-Edge leather case with hinges but read that many customers have noticed cracked cases as a result.  I bought the sleeve as a second option despite the fact that I have a feeling cracked cases come from folding the covers back.  I tend to read my Kindle without the case though because it is more comfortable.  I love the sleeve case and its style.  It fits in my purse, school bag, etc.  It's snug enough to keep it safe too.  This case is just as secure as the one with hinges.  I bought the hing",,,positive
I needed new needles for my ION Profile Pro and these have 100% improved the sound! I absolutely love these new needles.  Great needles with a great price.,,,positive
"The color is not as bright as it looks on the website it is darker.  I actually like the darker color better.   I can't get the case to fit perfectly, there is a small spot at the bottom that will not snap together.",,,positive
I really am happy with the accessories for the car and house. The case broke right away and is poorly made.,,,neutral
"This speaker is handy, small and the quality of sound is fantastic, especially when placed against a hard surface... I would recommend it to anyone who is looking for the qualities of sound and convenience/",,,positive
"The case is good.  The strap in the upper left hand corner is too close to the on/off button though.  The skin art is OK, although I think Decal Girl has a better fit.  Had to throw away the screen protector because the little paper tab stuck to it and left a big white spot on the protector.  Have had that happen with other protectors before as well.  Update:  After using this case for a few days, I'm going to replace it.  The straps that go over the top are definitely causing issues.  The one that covers t",,strap,negative
My wife and I wanted to share the iPod on flights. This was the answer. Sound quality is excellent. The iPod sounds just as it does without the adapter. No complaints. Good value.,,,positive
"Wife needed an extra charging/sync cable for her Nano at work.  Found this one and gave it a try due to cheap price.  Product arrived in a few days, and works perfect.  Very nice.  Recommended.",,,positive
"I ordered this cord because my dog ate my original cord.  When I plug it into the power pack and plug it into the wall my Nook will charge, but if I plug my Nook into my computer, the computer will not recognize it.  Very disappointing :(",,,negative
What i really like the most is the fishbone style keychain to wrap my earphones around. Everything else is perfect except for the  belt clip which i dont what or how to use.,,,positive
I bought theese solar cells planning for my son to make a solar panel at age 13. He ripped them open and not a single one chiped or broken. They put out the power as said in discription and work fine. One reminder these cells are 3&#34; by 6&#34; not 6&#34; by 6&#34; as shown in photos. These are an excelent deal and are highly recomended!,,,positive
The camera takes nice pictures and is easy to setup.<br />The night vision consists of a very bright incandescent lamp that is of no value.<br />It will reflect light off the windshield back onto the camera. It is so bright that it will illuminate the entire front<br />passenger area. Luckily in can be disabled.<br />The one really bad feature is the suction cup mount.<br />It only adjusts up and down. That means that if it is not mounted in the center of the windshield then it will not<br />be level. I per,,,neutral
This radio is pretty decent it is normal where Sony should be. I like the features and all of that. Well doesn't perform well as my Sony SRF-M37W which has better reception on almost everything. Well this is pretty good also but the FM/WB reception is OK. I like it when it has Distant/Local switch to improve FM/WB reception. Maybe the TV band is obsolete after the DTV switch. The AM reception for this product is delightful more thand any other brand outside Sony.The AM at night 10 or 11 o'clock will give yo,,,positive
These are the highest quality cords I have ever had,,,positive
"I was very disappointed with the Ghetto Blaster I purchased. It was all plastic and looked like it would fall apart any minute. When I sent it back for refund,I was not happy with the results. Buyer beware!!!!!!!!!!!!!!!!!",,,negative
Have not had the cord even a month and it has already shorted out. I have only used it to charge my iPod maybe 5 times and it is not charging it anymore when plugged in.<br />Returning it for a refund.<br />Would not recommend.,,,negative
It's a good camera for the price. It has many features in the menu to customize. I mount it to the car windshield every day to record my trip to work. And it does the job good.,,,positive
"Good, as anunicion says &#34;Bluetooth Transmitter&#34;, but I did not get any transmitter, which sent me are receivers. Now as we're going to send me Transmitters offer?",,,negative
This really is a great little case.  Offers protection and convenience without a lot of bulk.  I really didn't expect this kind of quality for this little money but have been nothing but pleasantly surprised.  I absolutely love this case!,,,positive
We got this for my son for Christmas.  He LOVES it.  He drives an older car and had thought he would have to put a new stereo system in to be able to hook up his phone.  This works great and is so much cheaper.,,,positive
"For the size (and price,) this is a great speaker.  It's surprisingly loud and clear, holds a charge for a long time, and recharges quickly from any USB port.",,,positive
It's great when I'm not hearing static!!<br />This is my second purchase. The previous cube blue tooth would not work.,,blue tooth,negative
"I have the HTC Evo, and it's no secret that that phone's battery life is beyond horrible.  I found myself changing my phone habits because I knew that if used any kind of data-heavy apps or 4g, I'd have to charge at least twice in a day.  It was a serious drag because the Evo's a great phone, but I'd come home from my commute with a dead battery and an attractive paperweight in my pocket.  Didn't feel like getting the extended internal battery either because I didn't want the extra bulk- I went that route w",,battery,positive
"After reading the reviews, I was excitted to have found these headphones.....wrong!!!<br /><br />They don't even fit my ears, so they continue to slide off making them completely useless.",,,negative
I love it I I recommend that you buy this case is awesome case and is it fits perfectly for the iPod 5 generation I really appreciate it thank you,,,positive
Fits my Ford Econoline dash very well and is easy to install.  Assemble the radio retainer into this part before snapping into place.,,,positive
The threading is defective.  My PL259 terminated antennas would not screw onto this adapter more than two turns.  They should turn 4 to 6 turns using finger torque alone. It should never be necessary to use pliers or a vice grip to mound a plug all the way onto a socket.  The result of the defect is that the center pin of the PL259 plug is not held snugly inside the adapter's center socket.  I've been my antenna antenna plugs for years and they screw properly into the SO-239 sockets on my receivers and tran,,,negative
None of the clips fit my work belt (standard Home Depot brand and size). . I definitely wasted my money on this one.,,clips,negative
"Fits perfectly. Seems like it would protect the player in a fall well. Does not make it harder to take out of my pocket. Looks nice. Overall, I couldn't ask for more in a case.",,,positive
I love this little Music Angel. I use it for several things. I use it to play music from my SD card. I connect it to my pc to listen to music and I use it with my pc to watch my shows on Hulu.com. It is really powerful and clear for being so small. Has a real nice bass to it as well. Extremely affordable too. I love it. Makes a great gift for you teens too.,,SD card,positive
"it works some time and most time it will say &#34; it is not supporting&#34; therefore, it wont charge. i suggest you dont buy this if you really need it as a primary charger, but if you just want this as a backup, then go for it.",,,negative
"Bought this Mini Speaker for my Galaxy TAB, works great, has a very good sound for such a small unit.  Would recommend this unit for anyone that wants to increase their TAB or IPAD.",,,positive
"I plugged this in for the first time today, and it crashed my MacBook.  It wouldn't even turn on after this player was unplugged.  I had to send the entire computer in to be worked on.  The tech guy said it might be a coincidence but he wouldn't recommend pluggin it in ever again.  Will be returning it.",,,negative
"Very good sound for the size and price! My only concern is about the cable. It's very specific and if it gets damaged or lost, there is no other way than buy another one.  I recommend it!",,cable,positive
"First I'll start with what I like about the case. I was glad that the color and the rest of the case's appearance exactly matched the picture, as that is not always the case with products on Amazon. Also, the case, that comes in three parts, fits securely and does not come loose.<br /><br />Now for the things I didn't like. As several other buyers have mentioned, the kick-stand is very low quality. It's very hard to open up and once you do manage to get it out, the hinge is very flimsy. It hardly seems fit ",,kick-stand,neutral
Worthless waste of time space and money. Had it maybe a month an the amp provided blew the cheap speaker it came with didn't sound good anyway had a hollow high beat not low at all do yourself a favor buy better subs,,speaker,negative
"I am a clear speaker, but often have to repeat for the buddy...still, not bad...my callers say I am clear.",,,neutral
"FM transmitter works well. There was some static with the initial radio stations I selected but once I found the right station, all the static disappeared. My previous, more expensive, transmitter died after a year so I decided to try this one. It works as well as my old one and it cost significantly less. I am pleased with my purchase.",,FM transmitter,positive
"This is exactly what I was looking for to protect my iPod. My gen 4 fits in nice and snug. The magnetic cover keeps the screen protected and the controls are easy to reach. I've read complaints about the thin strip of leather between the bottom two ports. When I'm syncing or inserting headphones, I slide my iPod up a little bit so the cords can engage cleanly, then I snug it back down with no issues. This is a quality product that I expect to last for quite awhile. I really liked my Belkin (had it for two y",, magnetic cover,positive
This case is the PERFECT size for the new 6th gen nano!  It has just enough room to fit the iPod and a set of earbuds.  I am very happy with this item and bought 2 for my dad and I.<br /><br />This is a must buy if you have a nano!,,,positive
I like this case for my ipod touch but I wish it held it more securely. If you hold it upright your ipod will slide out if you don't hold it in. Be careful. Other than that it is very stylish and I get lots of compliments. It protects well if placed in my bag or pocket.,,,positive
"I was buying this portable system to replace my old unit which finally gave out.  I really like the sound for a small player and it does everything I need including playing my mp3 player. If you want a good sounding unit for a reasonable price I would recommend this one, you won't be disappointed.",,,positive
ABSOLUTE GARBAGE! waste of my money! I would not recommend this to anyone for anything! this crapola is worse than a stock radio for your car! dont buy!,,,negative
This product has HORRIBLE directions. It looks like they were translated from another language. The buttons dented in while I was trying to figure out how to switch settings. Plus when you turn it back on you have to start all over again. Displeased.,,buttons,negative
"We've bought 3 of these now. They are lightweight, hold a charge FOREVER! Have great sound, connect easily with your smartphone. My toddler loves to carry it around and dance and she drops it all the time. It's durable! Love bringing it on walks in the stroller, out on the patio, into any room in the house. Excellent price! Great colors.",,,positive
I like the transmitter because my music is extremely clear and crisp I will recommend this to a friend good buy.,,,positive
"color is perfect, i love the pattern, it looks exactly like the picture :) the only issue i have is the screen protector sucks, to many bubbles, so i just didnt use it.",,screen protector,positive
This was a great device until it quit working just outside of the warranty period of one year.  There is no activity at all and I cannot use it.  Very disappointing.,,,negative
I ordered the iPod Charger Kit for my Nano 5th Generation.  It arrived within one week.  I use it all the time and it works great.,,,positive
I did a ton of research looking for an fm transmitter that didn't require a car charger.  I bought one that was crap.  I just purchased this one (from Walmart) and it is awesome.  I live in Chicago which has stations on every frequency it seems.  I was able to override almost any channel from 25-30 ft away even.  Booyah!,,,positive
"If you have issues or concerns with sweating with the Nike+ armband systems then consider the iFrogz ibagz as an alternative.  It is water resistant, easy to operate, and your ipod remains completely dry.     The only con is that it must be manipulated for comfort.  I simply tighten the lanyard around my arm and then place the Nike+ Armband over the bag once I've started running to keep it in place.  Don't mess with the controls to often so lack of access is not an issue.    Average run is 7-10 miles and ha",,,neutral
Pretty awesome for the price. Shipping took some time but I was not in a hurry. Battery charger works great. System is stable. No problems found yet. I have been running it constantly for 3 months with out problems.,,Battery charger,positive
"iAudio4 is the most useful digital voice recorder. It's cost effective and plenty of advantages. Very clear sound and so sensetive that it can pick up voices 10 meter away with excellent results. Moreover it's noiseless, no disturbance what so ever. Add to that, the easy way to transfer audio to your pc or notebook or even a PDA thanks to the easy and very friendly software that comes with the recorder. <br />Do NOT buy any digital voice recorder unless it's iAUDIO mark you wont regret it. <br />It's very l",,,positive
This was the best purchase for my 11 years old Ipod. Well worth it and so easy to put on.,,,positive
"I just wanted 'just an' earphone, probably that's the reason I did not bother going to a shop nearby and by it in a day than ordering it online and waiting for 10 more days.<br /><br />I really hoped it would be like the one which I just broke. It turned out to be different. Not bad but weirder.<br /><br />Features: Elegant white color, bold ear buds, its like a typically Nokia headset with one of the end longer so as to wrap it around your neck.<br /><br />My Likes: Obviously the look of silvery and white ",,,neutral
Zagg ZMAP9701KB Zaggmate Hard Metal Case with Keyboard Fits Apple iPad 1st Gen   When will you have this for the Ipad 2?,,,positive
"I love this speaker! Whenever I listen to music in the shower with this, it sounds like Harry styles is in my bathroom! Lolol",,,positive
"Don't get me wrong the design's great... a little bit less bright then what I expected, but overall pretty decent. Now let's talk about protection... In this department it sucks.... the case snapped when I tried taking it off and it didn't even come with application instructions. Weeeellll if you're just getting this case for the looks then go right ahead click that add to cart button. BUT if you ARE getting this case because you think it will provide you with good protection....don't get it, because in thi",,,neutral
"My car DVR Camera arrived faster than promised, - that's nice.<br />Everything well packed. The DVR is easy to install and is in use every day. Very well documentation and an easy set-up instruction.<br />I can recommend this to anyone driving who wants to keep a record of their driving.",,,positive
incredible speakers could not be more pleased. make my cooper sound like a recording studio. i would definitely recommend jl product to anyone who values sonic imagery.,,,positive
"Never actually used it as, when I got a car, I didn't had an AUX adapter on it, and after that my Zune broke down quite soon.",,,neutral
i AM VERY PLEASE WITH THE OVER ALL OF MY boombox. USE IT AT MY LAST COOK OUT AND EVERY ONE WAS PLEASE WITH THE SOUND OF THE MUSIC.  jAY jAY,,,positive
I've bought this product in the past and I love it but hate it too. The screen guard itself is a struggle and sometimes you get finger prints on it if your not too careful. But overall not too shabby once you get the hang of it. :),,screen guard,positive
Received on time without issue for a great price.  Cables are very stiff.  Rolled them up for travel a few times now and found a few crimps in the sheathing after unrolling but they are still working fine.  My worry is that cables will develop on open circuit after a few months of use.  Time will tell.,,Cables,neutral
"The above reviewers should read what the item actually is before purchase, and then giving it a low review.    The item SPECIFICALLY says it is for \\""nook\\"" NOT \\""kindle\\"".  The \\""nook\\"" is smaller than the \\""kindle\\"" so OFCOURSE it will be a tight fit if you try to squeeze it in there.    That's like trying to fit Los Angeles inside of PODUNK, Arkansas.",,,positive
"Man, the iPhone 14 Pro's always-on display is a battery hog. Looks cool, but RIP my charger.",iPhone 14 Pro,always-on display,negative
"Samsung Galaxy S22's fingerprint sensor is lightning fast! No more fumbling to unlock, yasss!",Samsung Galaxy S22,fingerprint sensor,positive
OnePlus 11R's gaming mode is legit. Notifications? Don't know her when I'm in the zone.,OnePlus 11R,gaming mode,positive
"Pixel 7's call screening is a lifesaver. Bye-bye spam calls, hello peace of mind!",Pixel 7,call screening,positive
"Xiaomi 12T Pro's 120W charging is nuts! But like, is it safe for the battery? Asking for a friend.",Xiaomi 12T Pro,120W charging,neutral
Sony Xperia 5 IV's camera shutter button is old school cool. Feels like a real camera!,Sony Xperia 5 IV,physical camera button,positive
"OPPO Find X5's ceramic back is slippery AF. Looks premium, feels dangerous. Case needed ASAP!",OPPO Find X5,ceramic back,neutral
"LG Velvet's raindrop camera design is cute, but the camera itself? Meh city, population: this phone.",LG Velvet,,negative
Motorola Edge 30 Fusion's ready-for feature is neat. Phone to PC in seconds? Yes please!,Motorola Edge 30 Fusion,,positive
Realme GT Neo 3's racing stripe is fire! Feels like my phone's ready for the Fast and Furious.,Realme GT Neo 3,,positive
"Asus Zenfone 9's compact size is a breath of fresh air. Finally, a phone that fits in my pocket!",Asus Zenfone 9,,positive
"Nokia X30's eco-friendly build is cool and all, but the performance is giving me 2010 vibes. Not in a good way.",Nokia X30,,negative
"Vivo V25's color-changing back is a neat party trick, but that's about it. Gimmicky much?",Vivo V25,color-changing back,neutral
"Huawei Mate 50 Pro's emergency satellite texts are clutch. But no Google? It's a no from me, dawg.",Huawei Mate 50 Pro,satellite messaging,negative
"ZTE Axon 40 Ultra's under-display camera is like magic! But selfies look like potatoes, so...",ZTE Axon 40 Ultra,under-display camera,neutral
Lenovo Legion Y90's shoulder triggers are a game-changer. Mobile gaming will never be the same!,Lenovo Legion Y90,shoulder triggers,positive
"BlackBerry Key2's physical keyboard is nostalgic, but in 2024? Nah fam, we've moved on.",BlackBerry Key2,physical keyboard,negative
TCL 20 Pro 5G's NXTVISION display is eye-candy. Netflix binges just got a whole lot prettier!,TCL 20 Pro 5G,NXTVISION display,positive
"Honor Magic4 Pro's 100W wireless charging is bonkers. The future is now, old man!",Honor Magic4 Pro,100W wireless charging,positive
"Poco F4 GT's magnetic pop-up triggers are cool, but make the phone chunky. Bulk or gaming? Tough choice.",Poco F4 GT,magnetic pop-up triggers,neutral
"Microsoft Surface Duo 2's dual-screen setup is unique, but the buggy software? Big yikes.",Microsoft Surface Duo 2,dual-screen,negative
"Google Pixel 6a's Magic Eraser is black magic. Photobombers, begone!",Google Pixel 6a,,positive
"OnePlus Nord CE 3 Lite's 108MP camera sounds impressive, but pics are meh. More pixels, more problems?",OnePlus Nord CE 3 Lite,108MP camera,negative
"iPhone SE 3's Touch ID is reliable, but that dinosaur design? It's giving iPod Touch vibes.",iPhone SE 3,,neutral
Samsung Galaxy A54's macro camera is surprisingly decent. My Insta food pics are next level now!,Samsung Galaxy A54,macro camera,positive
"Moto G Power's battery life is insane! Three days without charging? Witchcraft, I tell ya!",Moto G Power,,positive
"Xiaomi Redmi Note 12 Pro's 120Hz display is smooth like butter, but the UI? Not so much. Laggy at times.",Xiaomi Redmi Note 12 Pro,120Hz display,neutral
"Sony Xperia 1 V's 4K display is overkill. My eyes can't even tell the difference, but my battery sure can!",Sony Xperia 1 V,4K display,neutral
"OPPO Reno8 T's glow ring is cute for notifications, but kinda useless tbh. Style over substance much?",OPPO Reno8 T,glow ring,negative
